film_title,year,genre,runtime_mins,avg_rating,num_ratings,num_reviews,country,language,letterboxd_url,date_scraped
Five Nights at Freddy’s,2023,Horror|Thriller,110,2.57,1514336,468865,USA,English,https://letterboxd.com/film/five-nights-at-freddys/,2026-05-04
Talk to Me,2022,Fantasy|Horror,95,3.47,1397522,371773,Australia|UK,English|French|Greek (modern)|English,https://letterboxd.com/film/talk-to-me-2022/,2026-05-04
The Sixth Sense,1999,Thriller|Mystery|Horror|Drama,107,4.09,1345636,170562,USA,English|English|Latin|Spanish,https://letterboxd.com/film/the-sixth-sense/,2026-05-04
The Black Phone,2021,Thriller|Horror,103,3.31,1483588,292760,USA,English|English|Portuguese|Spanish,https://letterboxd.com/film/the-black-phone/,2026-05-04
Alien: Romulus,2024,Science Fiction|Horror,119,3.58,1220665,394466,USA,English|Danish|English|Dutch,https://letterboxd.com/film/alien-romulus/,2026-05-04
Bodies Bodies Bodies,2022,Comedy|Mystery|Horror|Thriller,94,3.27,1162760,399487,USA|France,English,https://letterboxd.com/film/bodies-bodies-bodies/,2026-05-04
Ready or Not,2019,Horror|Comedy,95,3.5,1253798,299824,USA,English,https://letterboxd.com/film/ready-or-not-2019/,2026-05-04
Smile,2022,Horror|Mystery,115,2.86,1437305,297802,USA,English,https://letterboxd.com/film/smile-2022/,2026-05-04
Final Destination Bloodlines,2025,Mystery|Horror,110,3.21,1149034,401461,USA,English,https://letterboxd.com/film/final-destination-bloodlines/,2026-05-04
I Saw the TV Glow,2024,Drama|Horror,100,3.52,801167,363383,USA,English,https://letterboxd.com/film/i-saw-the-tv-glow/,2026-05-04
Train to Busan,2016,Thriller|Horror|Adventure|Action,118,3.98,1174494,174137,South Korea,Korean,https://letterboxd.com/film/train-to-busan/,2026-05-04
Bring Her Back,2025,Horror,104,3.68,962591,375458,Australia|USA,English,https://letterboxd.com/film/bring-her-back/,2026-05-04
It Chapter Two,2019,Drama|Thriller|Horror,169,2.93,1416719,183997,USA,English,https://letterboxd.com/film/it-chapter-two/,2026-05-04
Shaun of the Dead,2004,Horror|Comedy,99,3.94,1203607,155815,UK,English,https://letterboxd.com/film/shaun-of-the-dead/,2026-05-04
Last Night in Soho,2021,Horror|Mystery,117,3.44,959298,221060,UK|USA|China,English,https://letterboxd.com/film/last-night-in-soho/,2026-05-04
MaXXXine,2024,Horror|Thriller,103,3.08,914660,311286,USA,English,https://letterboxd.com/film/maxxxine/,2026-05-04
Halloween,1978,Thriller|Horror,91,3.76,1081222,201690,USA,English,https://letterboxd.com/film/halloween-1978/,2026-05-04
Trap,2024,Crime|Thriller|Horror,105,2.61,1034636,369783,USA,English,https://letterboxd.com/film/trap-2024/,2026-05-04
