film_title,year,genre,runtime_mins,avg_rating,num_ratings,num_reviews,country,language,letterboxd_url,date_scraped
The Usual Suspects,1995,Thriller|Drama|Crime,106,4.08,51495514950230034502581202605031995111212011062251328764089656470,132876,USA,English|Spanish|English|French|Hungarian,https://letterboxd.com/film/the-usual-suspects/,2026-05-04
Love Me Love Me,2026,Romance|Drama,99,1.44,11983771198377023003458659542026050320261120240717538965144811530,38965,Italy|USA,English|English|Italian,https://letterboxd.com/film/love-me-love-me/,2026-05-04
WALL·E,2008,Animation|Science Fiction|Family,98,4.24,45994459940230034527020260503200811120110620516683242426276970,166832,USA,English,https://letterboxd.com/film/walle/,2026-05-04
Ponyo,2008,Animation|Family|Fantasy,100,4.12,44594445940230034565202026050322008120110620521311041212945990,213110,Japan,Japanese,https://letterboxd.com/film/ponyo/,2026-05-04
Poor Things,2023,Romance|Science Fiction|Comedy,141,3.93,71035271035202300345029020260428442023202322211202102012023568826139325298200,688261,Ireland|UK|USA,English|English|French|Portuguese,https://letterboxd.com/film/poor-things-2023/,2026-05-04
The Blair Witch Project,1999,Mystery|Horror,81,3.26,50159501590230034505594240220260502199932011062251836373269734130,183637,USA,English,https://letterboxd.com/film/the-blair-witch-project/,2026-05-04
Mr. & Mrs. Smith,2005,Drama|Thriller|Action|Comedy,120,3.33,5136551365023003459096892026041620052005152201106222005516712233313222560,167122,Switzerland|USA,English|English|Spanish,https://letterboxd.com/film/mr-mrs-smith-2005/,2026-05-04
Iron Man 2,2010,Adventure|Science Fiction|Action,124,3.01,4651146511202300345678566320260503120102115211112011062022512428530116282650,124285,USA,English|English|Russian|French,https://letterboxd.com/film/iron-man-2/,2026-05-04
Captain America: Civil War,2016,Adventure|Action|Science Fiction,147,3.65,19440219440202300345063386156761656202605032016141112216156720140523516987036521605830,169870,USA,English|Romanian|English|German|Russian,https://letterboxd.com/film/captain-america-civil-war/,2026-05-04
Her,2013,Science Fiction|Romance|Drama,126,3.97,60023003451678973220260503201321220121226532163639721631990,321636,USA,English,https://letterboxd.com/film/her/,2026-05-04
Reservoir Dogs,1992,Crime|Thriller,99,4.14,4724670230034561720202604291992220110622518817941415845420,188179,USA,English,https://letterboxd.com/film/reservoir-dogs/,2026-05-04
A Minecraft Movie,2025,Adventure|Family|Fantasy|Comedy,101,2.45,85469185469102300345074792026050312025115220220318562929124514518580,629291,Sweden|USA,English,https://letterboxd.com/film/a-minecraft-movie/,2026-05-04
Pretty Woman,1990,Comedy|Romance,120,3.71,519365193602300345190162026042819901321420110622518287037111930870,182870,USA,English,https://letterboxd.com/film/pretty-woman/,2026-05-04
The Revenant,2015,Adventure|Western|Drama,157,3.91,2072242072240230034551305892026043012015201512111201407152015510928739113920050,109287,Canada|Hong Kong|Taiwan|USA,English|English|French,https://letterboxd.com/film/the-revenant-2015/,2026-05-04
Alien,1979,Horror|Science Fiction,117,4.25,817677065402300345932998202605031197920110622531368942518441730,313689,USA|UK,English|English|Spanish,https://letterboxd.com/film/alien/,2026-05-04
The Lego Batman Movie,2017,Comedy|Animation|Family|Action|here,104,3.97,25193725193702300345711202605031201721220150212522812039710438200,228120,USA|Denmark|Australia,English,https://letterboxd.com/film/the-lego-batman-movie/,2026-05-04
Boogie Nights,1997,Drama,156,4.2,49007490070230034557856202605031997311111121201106225161648426561000,161648,USA,English,https://letterboxd.com/film/boogie-nights/,2026-05-04
Sicario,2015,Action|Thriller|Crime,122,4.0,1976281976280230034506416322026050211201520151121201406032015514136649364270,141366,USA,English|Spanish|English,https://letterboxd.com/film/sicario-2015/,2026-05-04
I Saw the TV Glow,2024,Drama|Horror,100,3.52,772230772230023003457397217720260425242420242021080553630823528004850,363082,USA,English,https://letterboxd.com/film/i-saw-the-tv-glow/,2026-05-04
