film_slug,film_id,title,genre_1,genre_2,genre_3,genre_4,genre_5
the-invisible-man-2020,,The Invisible Man,Science Fiction,Horror,Thriller,,
brahms-the-boy-ii,,Brahms: The Boy II,Horror,Thriller,Mystery,,
emma-2020,,Emma.,Romance,Comedy,,,
the-father-2020,,The Father,Drama,,,,
some-kind-of-heaven,,Some Kind of Heaven,Documentary,,,,
surge-2020,,Surge,Thriller,,,,
palm-springs-2020,,Palm Springs,Romance,Science Fiction,Comedy,,
promising-young-woman,,Promising Young Woman,Crime,Drama,Thriller,,
possessor,,Possessor,Thriller,Horror,Science Fiction,,
sonic-the-hedgehog,,Sonic the Hedgehog,Comedy,Family,Science Fiction,Action,
spree-2020,,Spree,Horror,Thriller,Comedy,Crime,
miss-americana,,Miss Americana,Music,Documentary,,,
cats-2019,,Cats,Comedy,Drama,Fantasy,,
star-wars-the-rise-of-skywalker,,Star Wars: The Rise of Skywalker,Adventure,Action,Science Fiction,,
little-women-2019,,Little Women,Drama,Romance,,,
last-christmas-2019,,Last Christmas,Comedy,Drama,Romance,,
let-it-snow-2019,,Let It Snow,Romance,Comedy,,,
klaus,,Klaus,Animation,Family,Comedy,,
doctor-sleep,,Doctor Sleep,Horror,Fantasy,,,
el-camino-a-breaking-bad-movie,,El Camino: A Breaking Bad Movie,Crime,Drama,Thriller,,
zombieland-double-tap,,Zombieland: Double Tap,Horror,Comedy,,,
the-irishman-2019,,The Irishman,History,Drama,Crime,,
tall-girl,,Tall Girl,Comedy,Drama,Romance,,
guns-akimbo,,Guns Akimbo,Comedy,Crime,Thriller,Action,
saint-maud,,Saint Maud,Horror,Thriller,Mystery,,
bad-education-2019,,Bad Education,History,Crime,Drama,,
two-of-us-2019,,Two of Us,Drama,Romance,,,
color-out-of-space,,Color Out of Space,Mystery,Science Fiction,Thriller,Horror,
knives-out-2019,,Knives Out,Mystery,Comedy,Crime,,
a-beautiful-day-in-the-neighborhood,,A Beautiful Day in the Neighborhood,History,Family,Drama,,
the-platform,,The Platform,Thriller,Drama,Science Fiction,,
hustlers-2019,,Hustlers,Comedy,Crime,Drama,,
the-personal-history-of-david-copperfield,,The Personal History of David Copperfield,Comedy,,,,
babyteeth,,Babyteeth,Drama,Romance,Comedy,,
the-king-2019,,The King,War,Drama,History,,
the-laundromat-2019,,The Laundromat,Drama,Comedy,Crime,,
the-two-popes,,The Two Popes,Drama,History,,,
first-cow,,First Cow,Western,Drama,,,
waves-2019,,Waves,Romance,Drama,,,
ford-v-ferrari,,Ford v Ferrari,Drama,Action,History,,
uncut-gems,,Uncut Gems,Crime,Thriller,Drama,,
marriage-story-2019,,Marriage Story,Drama,,,,
ad-astra-2019,,Ad Astra,Science Fiction,Drama,,,
it-chapter-two,,It Chapter Two,Drama,Thriller,Horror,,
ready-or-not-2019,,Ready or Not,Horror,Comedy,,,
bad-assistant,,Bad Assistant,,,,,
fast-furious-presents-hobbs-shaw,,Fast & Furious Presents: Hobbs & Shaw,Adventure,Action,Comedy,,
daughter-2019,,Daughter,Animation,Drama,,,
the-fabric-of-you,,The Fabric of You,Romance,Animation,Drama,Horror,
anima-2019,,Anima,Music,,,,
spider-man-far-from-home,,Spider-Man: Far From Home,Science Fiction,Adventure,Action,,
childs-play-2019,,Child's Play,Science Fiction,Horror,,,
midsommar,,Midsommar,Mystery,Drama,Horror,,
sequin-in-a-blue-room,,Sequin in a Blue Room,Thriller,Drama,,,
jonas-brothers-chasing-happiness,,Chasing Happiness,Music,Documentary,,,
always-be-my-maybe-2019,,Always Be My Maybe,Romance,Comedy,,,
ma-2019,,Ma,Horror,Thriller,,,
murder-mystery,,Murder Mystery,Comedy,Mystery,,,
matthias-maxime,,Matthias & Maxime,Romance,Drama,,,
parasite-2019,,Parasite,Thriller,Comedy,Drama,,
once-upon-a-time-in-hollywood,,Once Upon a Time... in Hollywood,Thriller,Drama,Comedy,,
portrait-of-a-lady-on-fire,,Portrait of a Lady on Fire,Drama,Romance,,,
the-lighthouse-2019,,The Lighthouse,Thriller,Fantasy,Horror,Drama,
rocketman-2019,,Rocketman,Drama,Music,,,
john-wick-chapter-3-parabellum,,John Wick: Chapter 3 – Parabellum,Action,Crime,Thriller,,
wine-country,,Wine Country,Comedy,,,,
yesterday-2019,,Yesterday,Comedy,Fantasy,Romance,Music,
tolkien-2019,,Tolkien,Romance,War,Drama,,
pokemon-detective-pikachu,,Pokémon Detective Pikachu,Action,Fantasy,Adventure,,
the-kill-team-2019,,The Kill Team,Drama,Action,War,,
avengers-endgame,,Avengers: Endgame,Science Fiction,Action,Adventure,,
homecoming-a-film-by-beyonce,,HOMECOMING: A film by Beyoncé,Music,Documentary,,,
the-perfect-date-2019,,The Perfect Date,Romance,Comedy,,,
after-2019,,After,Romance,Drama,,,
hellboy-2019,,Hellboy,Action,Fantasy,Adventure,Horror,
the-silence-2019,,The Silence,Horror,Thriller,Drama,Fantasy,
five-feet-apart,,Five Feet Apart,Romance,Drama,,,
dumbo-2019,,Dumbo,Family,Adventure,Fantasy,,
booksmart,,Booksmart,Comedy,,,,
the-peanut-butter-falcon,,The Peanut Butter Falcon,Drama,Adventure,Comedy,,
long-shot-2019,,Long Shot,Romance,Comedy,,,
us-2019,,Us,Horror,Mystery,,,
triple-frontier,,Triple Frontier,Action,Adventure,Thriller,Crime,
happy-death-day-2u,,Happy Death Day 2U,Comedy,Horror,Science Fiction,,
isnt-it-romantic-2019,,Isn't It Romantic,Romance,Comedy,Fantasy,,
alita-battle-angel,,Alita: Battle Angel,Adventure,Science Fiction,Action,,
the-souvenir,,The Souvenir,Drama,Romance,,,
velvet-buzzsaw,,Velvet Buzzsaw,Thriller,Mystery,Horror,,
wounds,,Wounds,Horror,Mystery,,,
the-last-black-man-in-san-francisco,,The Last Black Man in San Francisco,Drama,,,,
extremely-wicked-shockingly-evil-and-vile,,"Extremely Wicked, Shockingly Evil and Vile",Drama,Crime,,,
the-hole-in-the-ground-2019,,The Hole in the Ground,Horror,,,,
the-lodge-2019,,The Lodge,Horror,Thriller,Mystery,Drama,
honey-boy,,Honey Boy,Drama,,,,
polar-2019,,Polar,Drama,Action,Crime,,
serenity-2019,,Serenity,Drama,Thriller,Mystery,,
fyre-2019,,Fyre,Documentary,,,,
glass-2019,,Glass,Science Fiction,Drama,Thriller,,
escape-room-2019,,Escape Room,Thriller,Mystery,Horror,,
holmes-watson,,Holmes & Watson,Crime,Mystery,Comedy,,
welcome-to-marwen,,Welcome to Marwen,Comedy,Drama,,,
vice-2018,,Vice,Drama,Comedy,,,
dumplin,,Dumplin',Drama,Comedy,,,
spider-man-into-the-spider-verse,,Spider-Man: Into the Spider-Verse,Adventure,Animation,Action,Science Fiction,
aquaman-2018,,Aquaman,Fantasy,Action,Adventure,,
mary-queen-of-scots-2018,,Mary Queen of Scots,Drama,History,,,
dragon-ball-super-broly,,Dragon Ball Super: Broly,Science Fiction,Animation,Action,,
creed-ii,,Creed II,Drama,Action,,,
bird-box,,Bird Box,Thriller,Drama,Horror,,
the-grinch,,The Grinch,Fantasy,Animation,Comedy,Family,
the-nutcracker-and-the-four-realms,,The Nutcracker and the Four Realms,Fantasy,Family,Adventure,,
the-princess-switch,,The Princess Switch,Comedy,Romance,,,
bohemian-rhapsody,,Bohemian Rhapsody,Music,Drama,,,
venom-2018,,Venom,Science Fiction,Action,,,
bad-times-at-the-el-royale,,Bad Times at the El Royale,Crime,Mystery,Thriller,,
apostle-2018,,Apostle,Mystery,Horror,,,
johnny-english-strikes-again,,Johnny English Strikes Again,Comedy,Adventure,Action,,
hold-the-dark,,Hold the Dark,Thriller,Crime,Mystery,,
green-book,,Green Book,Drama,History,Comedy,,
the-death-life-of-john-f-donovan,,The Death & Life of John F. Donovan,Drama,,,,
slice-2018,,Slice,Horror,Comedy,,,
if-beale-street-could-talk,,If Beale Street Could Talk,Drama,Romance,,,
widows-2018,,Widows,Crime,Thriller,Drama,,
life-itself-2018,,Life Itself,Drama,Romance,,,
halloween-2018,,Halloween,Thriller,Horror,,,
sierra-burgess-is-a-loser,,Sierra Burgess Is a Loser,Drama,Romance,Comedy,,
the-predator,,The Predator,Science Fiction,Thriller,Action,,
vox-lux,,Vox Lux,Music,Drama,,,
at-eternitys-gate,,At Eternity's Gate,History,Drama,,,
suspiria-2018,,Suspiria,Horror,Mystery,Drama,,
the-quake,,The Quake,Drama,Thriller,Action,,
a-star-is-born-2018,,A Star Is Born,Music,Romance,Drama,,
the-front-runner,,The Front Runner,Drama,History,,,
the-ballad-of-buster-scruggs,,The Ballad of Buster Scruggs,Western,Drama,Comedy,,
roma-2018,,Roma,Drama,,,,
the-favourite,,The Favourite,Drama,Comedy,History,,
first-man,,First Man,History,Drama,,,
skin-2018-1,,Skin,Drama,,,,
to-all-the-boys-ive-loved-before,,To All the Boys I've Loved Before,Comedy,Romance,,,
the-package-2018,,The Package,Comedy,,,,
billionaire-boys-club-2018,,Billionaire Boys Club,Drama,,,,
mission-impossible-fallout,,Mission: Impossible – Fallout,Action,Adventure,,,
mamma-mia-here-we-go-again,,Mamma Mia! Here We Go Again,Comedy,Romance,,,
tau-2018,,Tau,Thriller,Horror,Science Fiction,,
sicario-day-of-the-soldado,,Sicario: Day of the Soldado,Thriller,Crime,Action,,
jurassic-world-fallen-kingdom,,Jurassic World: Fallen Kingdom,Adventure,Science Fiction,Thriller,,
oceans-eight,,Ocean's Eight,Crime,Action,Comedy,,
tag-2018,,Tag,Action,Comedy,,,
slender-man,,Slender Man,Horror,Thriller,Mystery,,
under-the-silver-lake,,Under the Silver Lake,Mystery,Crime,Drama,,
blackkklansman,,BlacKkKlansman,Drama,History,Crime,Comedy,
climax-2018,,Climax,Horror,Drama,Thriller,Music,
fahrenheit-451-2018,,Fahrenheit 451,Drama,Thriller,Science Fiction,,
the-kissing-booth,,The Kissing Booth,Comedy,Romance,,,
anon,,Anon,Mystery,Thriller,Science Fiction,Crime,
avengers-infinity-war,,Avengers: Infinity War,Action,Science Fiction,Adventure,,
truth-or-dare-2018,,Truth or Dare,Thriller,Horror,,,
the-guernsey-literary-potato-peel-pie-society,,The Guernsey Literary & Potato Peel Pie Society,History,Drama,Romance,,
ideal-home,,Ideal Home,Drama,Comedy,,,
shiva-baby,,Shiva Baby,Drama,Comedy,,,
ready-player-one,,Ready Player One,Science Fiction,Adventure,Action,,
unfriended-dark-web,,Unfriended: Dark Web,Horror,Mystery,,,
a-quiet-place-2018,,A Quiet Place,Drama,Science Fiction,Horror,,
the-strangers-prey-at-night,,The Strangers: Prey at Night,Horror,Thriller,,,
a-wrinkle-in-time-2018,,A Wrinkle in Time,Family,Fantasy,Adventure,Science Fiction,
mute-2018,,Mute,Thriller,Science Fiction,Mystery,,
unsane,,Unsane,Horror,Thriller,,,
irreplaceable-you,,Irreplaceable You,Drama,Comedy,Romance,,
game-night,,Game Night,Mystery,Comedy,Crime,,
isle-of-dogs-2018,,Isle of Dogs,Comedy,Animation,Adventure,,
hellraiser-judgment,,Hellraiser: Judgment,Thriller,Horror,,,
annihilation,,Annihilation,Science Fiction,Horror,,,
when-we-first-met,,When We First Met,Fantasy,Romance,Comedy,,
the-1517-to-paris,,The 15:17 to Paris,Drama,Thriller,,,
the-cloverfield-paradox,,The Cloverfield Paradox,Horror,Science Fiction,Mystery,,
black-panther,,Black Panther,Adventure,Science Fiction,Action,,
tully-2018,,Tully,Drama,Comedy,,,
skate-kitchen,,Skate Kitchen,Drama,Comedy,,,
hereditary,,Hereditary,Thriller,Horror,Mystery,,
sorry-to-bother-you,,Sorry to Bother You,Fantasy,Science Fiction,Comedy,,
wildlife-2018,,Wildlife,Drama,,,,
eighth-grade,,Eighth Grade,Drama,Comedy,,,
juliet-naked,,"Juliet, Naked",Drama,Comedy,Romance,,
the-open-house,,The Open House,Horror,Thriller,,,
fauve,,Fauve,Drama,,,,
searching-2018,,Searching,Drama,Thriller,Mystery,,
maze-runner-the-death-cure,,Maze Runner: The Death Cure,Action,Science Fiction,Adventure,Thriller,
insidious-the-last-key,,Insidious: The Last Key,Horror,Thriller,,,
bright,,Bright,Fantasy,Thriller,Action,,
phantom-thread,,Phantom Thread,Drama,Romance,,,
star-wars-the-last-jedi,,Star Wars: The Last Jedi,Adventure,Action,Science Fiction,,
the-greatest-showman,,The Greatest Showman,Drama,,,,
wonder-2017,,Wonder,Drama,Family,,,
marguerite-2017,,Marguerite,Drama,,,,
paddington-2,,Paddington 2,Comedy,Family,Adventure,,
murder-on-the-orient-express-2017,,Murder on the Orient Express,Mystery,Drama,Crime,,
justice-league,,Justice League,Adventure,Action,Science Fiction,,
jigsaw-2017,,Jigsaw,Horror,Mystery,,,
coco-2017,,Coco,Adventure,Animation,Music,Family,
the-man-who-invented-christmas,,The Man Who Invented Christmas,History,Family,Drama,Comedy,
happy-death-day,,Happy Death Day,Horror,Mystery,Comedy,,
blade-runner-2049,,Blade Runner 2049,Science Fiction,Drama,,,
thor-ragnarok,,Thor: Ragnarok,Comedy,Science Fiction,Action,,
spf-18,,SPF-18,Drama,Romance,,,
kingsman-the-golden-circle,,Kingsman: The Golden Circle,Crime,Action,Adventure,Comedy,
unicorn-store,,Unicorn Store,Fantasy,Comedy,Drama,,
revenge-2017,,Revenge,Horror,Action,Thriller,Drama,
mom-and-dad-2017,,Mom and Dad,Horror,Comedy,Thriller,,
the-death-of-stalin,,The Death of Stalin,Drama,Comedy,History,,
9-11-2017,,9/11,Drama,Thriller,,,
mother-2017,,mother!,Drama,Horror,,,
it-2017,,It,Drama,Thriller,Horror,,
three-billboards-outside-ebbing-missouri,,"Three Billboards Outside Ebbing, Missouri",Crime,Drama,,,
victoria-abdul,,Victoria & Abdul,Drama,History,,,
lean-on-pete,,Lean on Pete,Drama,Adventure,,,
lady-bird,,Lady Bird,Comedy,Drama,,,
darkest-hour,,Darkest Hour,Drama,History,,,
first-reformed,,First Reformed,Drama,,,,
the-shape-of-water,,The Shape of Water,Fantasy,Drama,Romance,,
leatherface,,Leatherface,Horror,Crime,Drama,Thriller,
the-snowman-2017,,The Snowman,Crime,Thriller,Mystery,Horror,
death-note-2017,,Death Note,Crime,Fantasy,Horror,,
victor-crowley,,Victor Crowley,Horror,Comedy,,,
the-silent-child,,The Silent Child,Drama,,,,
logan-lucky,,Logan Lucky,Crime,Comedy,Action,Drama,
the-dark-tower,,The Dark Tower,Fantasy,Science Fiction,Action,,
dunkirk-2017,,Dunkirk,Action,Drama,War,,
tour-de-pharmacy,,Tour de Pharmacy,TV Movie,Comedy,,,
spider-man-homecoming,,Spider-Man: Homecoming,Action,Adventure,Science Fiction,,
escape-room-2017,,Escape Room,Horror,Thriller,,,
annabelle-creation,,Annabelle: Creation,Horror,,,,
transformers-the-last-knight,,Transformers: The Last Knight,Action,Science Fiction,Adventure,,
the-book-of-henry,,The Book of Henry,Mystery,Drama,Thriller,,
you-were-never-really-here,,You Were Never Really Here,Drama,Thriller,Crime,,
good-time,,Good Time,Drama,Crime,Thriller,,
the-beguiled-2017,,The Beguiled,Drama,,,,
pirates-of-the-caribbean-dead-men-tell-no-tales,,Pirates of the Caribbean: Dead Men Tell No Tales,Action,Fantasy,Adventure,,
the-killing-of-a-sacred-deer,,The Killing of a Sacred Deer,Mystery,Drama,Thriller,,
the-mummy-2017,,The Mummy,Action,Horror,Fantasy,Adventure,Thriller
how-to-talk-to-girls-at-parties,,How to Talk to Girls at Parties,Science Fiction,Romance,Music,Comedy,
okja,,Okja,Drama,Science Fiction,Adventure,,
baywatch,,Baywatch,Action,Crime,Comedy,,
alien-covenant,,Alien: Covenant,Horror,Science Fiction,,,
the-circle-2017,,The Circle,Science Fiction,Thriller,Drama,,
guardians-of-the-galaxy-vol-2,,Guardians of the Galaxy Vol. 2,Action,Science Fiction,Adventure,,
the-fate-of-the-furious,,The Fate of the Furious,Crime,Thriller,Action,,
gifted-2017,,Gifted,Comedy,Drama,,,
power-rangers,,Power Rangers,Adventure,Action,Science Fiction,,
life-2017,,Life,Science Fiction,Horror,Mystery,,
mayhem-2017,,Mayhem,Comedy,Action,Horror,,
the-boss-baby,,The Boss Baby,Animation,Comedy,Family,,
the-disaster-artist,,The Disaster Artist,Drama,Comedy,,,
atomic-blonde,,Atomic Blonde,Thriller,Action,,,
baby-driver,,Baby Driver,Crime,Action,,,
song-to-song,,Song to Song,Drama,Romance,,,
amy-schumer-the-leather-special,,Amy Schumer: The Leather Special,Comedy,,,,
beauty-and-the-beast-2017,,Beauty and the Beast,Fantasy,Family,Romance,,
logan-2017,,Logan,Drama,Science Fiction,Action,,
the-lego-batman-movie,,The Lego Batman Movie,Comedy,Animation,Family,Action,
rings-2017,,Rings,Horror,,,,
john-wick-chapter-2,,John Wick: Chapter 2,Crime,Action,Thriller,,
the-robbery,,The Robbery,Comedy,Action,,,
78-52,,78/52,Documentary,,,,
marjorie-prime,,Marjorie Prime,Science Fiction,Mystery,Drama,,
get-out-2017,,Get Out,Horror,Mystery,Thriller,,
call-me-by-your-name,,Call Me by Your Name,Romance,Drama,,,
t2-trainspotting,,T2 Trainspotting,Crime,Comedy,Drama,,
a-ghost-story-2017,,A Ghost Story,Fantasy,Drama,Romance,,
the-big-sick,,The Big Sick,Comedy,Romance,Drama,,
ingrid-goes-west,,Ingrid Goes West,Comedy,Drama,,,
the-bye-bye-man,,The Bye Bye Man,Thriller,Horror,,,
eloise-2016,,Eloise,Mystery,Horror,Thriller,,
assassins-creed,,Assassin's Creed,Action,Science Fiction,Adventure,,
rogue-one-a-star-wars-story,,Rogue One: A Star Wars Story,Adventure,Action,Science Fiction,,
silence,,Silence,History,Drama,,,
fantastic-beasts-and-where-to-find-them,,Fantastic Beasts and Where to Find Them,Fantasy,Adventure,,,
terrifier-2016,,Terrifier,Horror,,,,
moana-2016,,Moana,Animation,Adventure,Family,Comedy,
split-2016,,Split,Horror,Thriller,,,
the-void-2016,,The Void,Mystery,Horror,Science Fiction,,
the-promise-2016-1,,The Promise,History,Drama,Romance,,
lion,,Lion,Drama,,,,
free-fire,,Free Fire,Action,Mystery,Crime,,
the-bad-batch,,The Bad Batch,Science Fiction,Horror,Mystery,Thriller,Action
bridget-joness-baby,,Bridget Jones's Baby,Romance,Drama,Comedy,,
nocturnal-animals,,Nocturnal Animals,Drama,Thriller,,,
moonlight-2016,,Moonlight,Drama,,,,
arrival-2016,,Arrival,Mystery,Science Fiction,Drama,,
la-la-land,,La La Land,Drama,Comedy,Romance,,
suicide-squad-2016,,Suicide Squad,Action,Adventure,Fantasy,,
blair-witch,,Blair Witch,Thriller,Horror,,,
ghostbusters-2016,,Ghostbusters,Fantasy,Action,Comedy,,
nerve-2016,,Nerve,Mystery,Adventure,Crime,,
popstar-never-stop-never-stopping,,Popstar: Never Stop Never Stopping,Comedy,Music,,,
the-neon-demon,,The Neon Demon,Horror,,,,
hell-or-high-water,,Hell or High Water,Crime,Western,Drama,,
raw-2016,,Raw,Drama,Horror,,,
the-conjuring-2,,The Conjuring 2,Horror,,,,
the-nice-guys,,The Nice Guys,Action,Comedy,Crime,,
x-men-apocalypse,,X-Men: Apocalypse,Science Fiction,Action,Fantasy,,
captain-america-civil-war,,Captain America: Civil War,Adventure,Action,Science Fiction,,
criminal-2016,,Criminal,Science Fiction,Crime,Action,,
the-belko-experiment,,The Belko Experiment,Thriller,Horror,,,
sausage-party,,Sausage Party,Comedy,Animation,Adventure,Fantasy,
batman-v-superman-dawn-of-justice,,Batman v Superman: Dawn of Justice,Action,Fantasy,Adventure,,
10-cloverfield-lane,,10 Cloverfield Lane,Science Fiction,Thriller,Horror,Drama,
deadpool,,Deadpool,Action,Adventure,Comedy,,
zootopia,,Zootopia,Animation,Family,Comedy,Adventure,
cabin-fever-2016,,Cabin Fever,Horror,,,,
manchester-by-the-sea,,Manchester by the Sea,Drama,,,,
31-2016,,31,Thriller,Horror,,,
hunt-for-the-wilderpeople,,Hunt for the Wilderpeople,Comedy,Drama,Adventure,,
pride-and-prejudice-and-zombies,,Pride and Prejudice and Zombies,Thriller,Romance,Horror,Comedy,
dirty-grandpa,,Dirty Grandpa,Comedy,,,,
friend-request,,Friend Request,Horror,Thriller,,,
the-revenant-2015,,The Revenant,Adventure,Western,Drama,,
star-wars-the-force-awakens,,Star Wars: The Force Awakens,Action,Adventure,Science Fiction,,
eddie-the-eagle,,Eddie the Eagle,Comedy,Adventure,Drama,History,
the-hateful-eight,,The Hateful Eight,Drama,Mystery,Western,,
krampus,,Krampus,Horror,Comedy,Fantasy,,
the-big-short,,The Big Short,Drama,Comedy,,,
the-hunger-games-mockingjay-part-2,,The Hunger Games: Mockingjay – Part 2,Adventure,Action,Science Fiction,,
martyrs-2015,,Martyrs,Horror,Mystery,,,
bone-tomahawk,,Bone Tomahawk,Drama,Horror,Western,,
i-spit-on-your-grave-iii-vengeance-is-mine,,I Spit on Your Grave III: Vengeance Is Mine,Horror,,,,
pan-2015,,Pan,Fantasy,Adventure,Action,Family,
the-dressmaker-2015,,The Dressmaker,Drama,Comedy,,,
the-lady-in-the-van,,The Lady in the Van,Comedy,Drama,,,
baskin-2015,,Baskin,Horror,Thriller,,,
the-martian,,The Martian,Drama,Science Fiction,Adventure,,
the-visit-2015,,The Visit,Horror,Thriller,,,
steve-jobs,,Steve Jobs,Drama,History,,,
the-man-from-uncle,,The Man from U.N.C.L.E.,Action,Comedy,Adventure,,
straight-outta-compton,,Straight Outta Compton,Drama,History,Music,,
mission-impossible-rogue-nation,,Mission: Impossible – Rogue Nation,Action,Adventure,,,
pixels-2015,,Pixels,Science Fiction,Action,Comedy,,
the-boy-and-the-beast,,The Boy and the Beast,Family,Adventure,Action,Drama,Animation
turbo-kid,,Turbo Kid,Comedy,Adventure,Action,Science Fiction,
deathgasm,,Deathgasm,Comedy,Horror,,,
ant-man,,Ant-Man,Adventure,Science Fiction,Action,,
magic-mike-xxl,,Magic Mike XXL,Drama,Comedy,,,
circle-2015,,Circle,Thriller,Mystery,Science Fiction,Horror,
kung-fury,,Kung Fury,Comedy,Science Fiction,Fantasy,Action,
the-human-centipede-3-final-sequence,,The Human Centipede 3 (Final Sequence),Horror,,,,
sicario-2015,,Sicario,Action,Thriller,Crime,,
louder-than-bombs,,Louder Than Bombs,Drama,,,,
inside-out-2015,,Inside Out,Animation,Adventure,Comedy,Family,Drama
carol-2015,,Carol,Drama,Romance,,,
green-room,,Green Room,Horror,Thriller,Crime,,
the-lobster,,The Lobster,Romance,Drama,Comedy,,
mad-max-fury-road,,Mad Max: Fury Road,Science Fiction,Adventure,Action,,
avengers-age-of-ultron,,Avengers: Age of Ultron,Science Fiction,Action,Adventure,,
trainwreck,,Trainwreck,Comedy,Romance,,,
tangerine,,Tangerine,Comedy,Drama,,,
knock-knock-2015,,Knock Knock,Horror,Thriller,,,
the-witch-2015,,The Witch,Horror,,,,
ex-machina-2015,,Ex Machina,Science Fiction,Drama,,,
paddington,,Paddington,Comedy,Family,Adventure,,
clown,,Clown,Horror,Thriller,,,
the-hunger-games-mockingjay-part-1,,The Hunger Games: Mockingjay – Part 1,Thriller,Science Fiction,Adventure,,
interstellar,,Interstellar,Science Fiction,Drama,Adventure,,
big-hero-6,,Big Hero 6,Science Fiction,Comedy,Action,Family,Animation
as-the-gods-will,,As the Gods Will,Horror,Comedy,Thriller,,
gone-girl,,Gone Girl,Drama,Mystery,Thriller,,
john-wick,,John Wick,Action,Thriller,,,
tusk-2014,,Tusk,Horror,Comedy,,,
nightcrawler,,Nightcrawler,Crime,Drama,Thriller,,
nymphomaniac,,Nymphomaniac,Drama,Comedy,Crime,,
birdman-or-the-unexpected-virtue-of-ignorance,,Birdman or (The Unexpected Virtue of Ignorance),Drama,Comedy,,,
wrong-turn-6-last-resort,,Wrong Turn 6: Last Resort,Horror,,,,
the-inbetweeners-2,,The Inbetweeners 2,Comedy,,,,
sharknado-2-the-second-one,,Sharknado 2: The Second One,Thriller,Science Fiction,TV Movie,,
guardians-of-the-galaxy,,Guardians of the Galaxy,Adventure,Action,Science Fiction,,
lucy-2014,,Lucy,Action,Science Fiction,,,
the-purge-anarchy,,The Purge: Anarchy,Horror,Thriller,,,
unfriended,,Unfriended,Horror,Mystery,,,
22-jump-street,,22 Jump Street,Action,Crime,Comedy,,
edge-of-tomorrow,,Edge of Tomorrow,Science Fiction,Action,,,
foxcatcher,,Foxcatcher,Thriller,Drama,,,
it-follows,,It Follows,Horror,Mystery,,,
the-fault-in-our-stars,,The Fault in Our Stars,Romance,Drama,,,
x-men-days-of-future-past,,X-Men: Days of Future Past,Action,Science Fiction,Adventure,,
the-amazing-spider-man-2,,The Amazing Spider-Man 2,Science Fiction,Action,Adventure,,
gods-not-dead,,God's Not Dead,Drama,,,,
divergent,,Divergent,Adventure,Action,Science Fiction,,
captain-america-the-winter-soldier,,Captain America: The Winter Soldier,Adventure,Science Fiction,Action,,
creep-2014,,Creep,Horror,Thriller,,,
chef,,Chef,Comedy,,,,
13-sins,,13 Sins,Horror,Thriller,,,
dead-snow-2-red-vs-dead,,Dead Snow 2: Red vs. Dead,Horror,Comedy,Action,,
the-grand-budapest-hotel,,The Grand Budapest Hotel,Comedy,Drama,,,
robocop-2014,,RoboCop,Action,Thriller,Science Fiction,Crime,Adventure
what-we-do-in-the-shadows,,What We Do in the Shadows,Horror,Comedy,,,
boyhood,,Boyhood,Drama,,,,
the-babadook,,The Babadook,Drama,Horror,,,
whiplash-2014,,Whiplash,Drama,Music,Thriller,,
nymphomaniac-volume-i,,Nymphomaniac: Vol. I,Drama,,,,
the-wolf-of-wall-street,,The Wolf of Wall Street,Comedy,Drama,Crime,,
the-hobbit-the-desolation-of-smaug,,The Hobbit: The Desolation of Smaug,Action,Fantasy,Adventure,,
the-hunger-games-catching-fire,,The Hunger Games: Catching Fire,Science Fiction,Adventure,Action,,
oldboy-2013,,Oldboy,Drama,Mystery,Action,Thriller,
thor-the-dark-world,,Thor: The Dark World,Action,Adventure,Fantasy,,
the-phone-call,,The Phone Call,Drama,,,,
her,,Her,Science Fiction,Romance,Drama,,
machete-kills,,Machete Kills,Thriller,Action,Crime,,
r100,,R100,Comedy,Drama,,,
enemy,,Enemy,Mystery,Thriller,,,
the-green-inferno,,The Green Inferno,Adventure,Horror,,,
oculus,,Oculus,Horror,,,,
wolf-creek-2,,Wolf Creek 2,Thriller,Horror,,,
prisoners,,Prisoners,Thriller,Crime,Drama,,
under-the-skin-2013,,Under the Skin,Science Fiction,Thriller,Horror,Drama,
gravity-2013,,Gravity,Thriller,Science Fiction,Drama,,
snowpiercer,,Snowpiercer,Drama,Action,Science Fiction,,
the-wolverine,,The Wolverine,Action,Science Fiction,Adventure,,
the-wind-rises,,The Wind Rises,Romance,History,Drama,Animation,
pacific-rim,,Pacific Rim,Science Fiction,Action,Adventure,,
the-worlds-end,,The World's End,Action,Science Fiction,Comedy,,
about-time,,About Time,Drama,Fantasy,Romance,,
world-war-z,,World War Z,Action,Thriller,Science Fiction,Horror,
man-of-steel,,Man of Steel,Action,Adventure,Science Fiction,,
the-conjuring,,The Conjuring,Horror,Thriller,,,
this-is-the-end,,This Is the End,Comedy,Action,,,
the-purge,,The Purge,Thriller,Science Fiction,Horror,,
after-earth,,After Earth,Science Fiction,Adventure,Action,,
inside-llewyn-davis,,Inside Llewyn Davis,Music,Drama,,,
the-bling-ring,,The Bling Ring,Drama,Crime,,,
star-trek-into-darkness,,Star Trek Into Darkness,Science Fiction,Adventure,Action,,
the-great-gatsby-2013,,The Great Gatsby,Drama,Romance,,,
iron-man-3,,Iron Man 3,Action,Adventure,Science Fiction,,
oblivion-2013,,Oblivion,Action,Adventure,Mystery,Science Fiction,
the-host-2013,,The Host,Science Fiction,Action,Adventure,,
cheap-thrills,,Cheap Thrills,Thriller,Crime,Comedy,,
evil-dead,,Evil Dead,Horror,,,,
