activity_name,category,location_area
Breakout Shangri-La Plaza,Recreation center,"5th floor East Wing Shangri-La Plaza Local 336-338 Edsa, corner Shaw Blvd, Ortigas Center, Mandaluyong City, 1552 Metro Manila, Philippines"
LOST Promenade,Escape room center,"Annapolis St. Cor, Missouri, San Juan City, 1502 Metro Manila, Philippines"
BGC Immersive,Museum,"3rd Floor, One Bonifacio High Street Mall, Taguig, Metro Manila, Philippines"
Omniverse Museum,Museum,"Omniverse Museum Japan Town 4/F Glorietta 2, Ayala Center Makati Palm Dr, Makati Ave, Makati City, 1224 Metro Manila, Philippines"
Immersive Media,Advertising agency,"702 SEDCCO 1 Building Corner Rada, Legazpi Street, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Dream Art,Handicraft,"Philippines, Metro Manila, Makati City, L2009, 邮政编码: 1229"
Digital National Art Museum (DNA Museum),Tourist attraction,"Luneta, Ermita, Manila, 1000 Metro Manila, Philippines"
The Mind Museum,Tourist attraction,"JY Campos Park, 3rd Ave, Taguig, 1634 Metro Manila, Philippines"
SPACE & TIME CUBE+,Tourist attraction,"Level 1, S'maison, Coral Way, cor Seaside Blvd, Pasay City, Philippines"
Under Maintenance,Art studio,"6th Floor, Karrivin Studios, 2316 Chino Roces Ave Ext, Makati City, 1232 Metro Manila, Philippines"
MO_Space,Art gallery,"3rd floor, MOs Design Bldg, B2 9th Avenue, Bonifacio High Street, Taguig, 1634 Metro Manila, Philippines"
The Dessert Museum,Modern art museum,"Seaside Boulevard, Coral Way, Pasay City, 1300, Philippines"
Altro Mondo Creative Space,Art gallery,"1159 Chino Roces Ave, Makati City, 1203 Metro Manila, Philippines"
Experience One,Software company,"27th Floor Tower 2, The Enterprise Centre, 6766 Ayala Avenue, corner Paseo de Roxas, Makati City, 1226, Philippines"
Cibes Lift Makati City Experience Center,Manufacturer,"Patio, 2257 Chino Roces Ave, Extension, Makati City, Metro Manila, Philippines"
Kuysen Design + Experience Center,Home goods store,"2 Jupiter Street, corner Zodiac, Bel-Air, Makati City, Philippines"
ACE Testing Hub Makati,Educational testing service,"178 Salcedo, Legazpi Village, Makati City, 1223 Metro Manila, Philippines"
Aesthetic Science Clinic Makati,Skin care clinic,"GF Somerset Olympia Makati, Makati Ave, corner Sto. Tomas, Makati City, Philippines"
KMC | Armstrong Corporate Center - Proworking and Virtual Office Space - Makati,Coworking space,"Salcedo Village, KMC Armstrong Corporate Center, H.V. Dela Costa, Makati City, 1227 Metro Manila, Philippines"
VXI Makati Recruitment Center,BPO company,"G/F SM Cyber Two Bldg., EDSA Buendia, Makati City, 1226 Metro Manila, Philippines"
DJI Authorised Store One Ayala Makati,Drone shop,"4th level, Ayala Mall EDSA, corner Ayala Ave, Makati City, Metro Manila, Philippines"
"MISNet Education, Inc.",Training center,"Unit 2201 Antel Corporate Center 121 Valero Street, Salcedo, Legazpi Village, Makati City, 1227 Metro Manila, Philippines"
The Enterprise Center,Corporate office,"The Enterprise Center Tower 2, The Enterprise Center Paseo de Roxas, Legazpi Village, Makati City, Metro Manila, Philippines"
Nexus Center,Business center,"1010 Metropolitan Ave, Makati City, 1203 Metro Manila, Philippines"
CHAGEE - PNB Makati Center,Tea house,"Ground Floor, PNB Makati Center G/F Allied Bank Center 6754 Ayala Ave, cor Legazpi Street, Makati City, 0716 Metro Manila, Philippines"
Huawei Experience Store Ayala Malls Circuit Makati,Electronics store,"Lower Ground Level, Circuit Lane, Ayala Mall, Ground Floor, Hippodromo St, Makati City, 1630 Metro Manila, Philippines"
The Enterprise Center Tower 1,Corporate office,"Tower 1, The Enterprise Center Tower 2, Paseo de Roxas, Legazpi Village, Makati City, 1226 Metro Manila, Philippines"
Makati Medical Center,Medical Center,"2 Amorsolo Street, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Fun House,Amusement center,"Puregold, 35 J. P. Rizal St, Makati City, Metro Manila, Philippines"
Fun House,Amusement center,"GCC, Edsa Corner Guadalupe, Makati, 1212 Kalakhang Maynila, Philippines"
The Mirror Studio,Dance hall,"8463 Kalayaan Ave, Makati City, 1209 Metro Manila, Philippines"
"Xoomibox Laser Maze & Lava Room - Ayala Malls, Manila Bay",Laser tag center,"5th floor Ayala Mall Manila Bay Diosdado Macapagal Blvd, cor Aseana Ave, Parañaque, 1701 Metro Manila, Philippines"
Mystery Manila - Jupiter Makati,Tourist attraction,"Jupiter, Makati City, Metro Manila, Philippines"
Music 21 Plaza Makati Branch,Karaoke bar,"2166 Chino Roces Ave, Makati City, 1230 Metro Manila, Philippines"
99 Family KTV - 9Sing Karaoke Bar,Karaoke bar,"644 J. P. Rizal St, Olympia, Makati City, 1207 Metro Manila, Philippines"
Rockstar KTV Glorietta,Karaoke bar,"4/F, Top Of Glo, Glorietta 4, Makati, Kalakhang Maynila, Philippines"
Sakurako,Karaoke bar,"2282, 1230 Chino Roces Ave, Makati City, 1230 Metro Manila, Philippines"
Musing KTV and Restobar,Karaoke bar,"2nd floor, AGS Plaza, Unit 7 Washington, Makati City, 1200 Metro Manila, Philippines"
Durban Makati Family KTV,Bar,"4900 Durban, Makati City, Metro Manila, Philippines"
PRINCESS SHINJU,Karaoke bar,"806 Antonio Arnaiz Ave, Makati City, 1223 Metro Manila, Philippines"
Pao KTV,Karaoke bar,"2nd Floor, Ags Bldg, 174 Yakal, Makati City, 1203 Metro Manila, Philippines"
Neukati KTV,Night club,"3F, Buma Building, 1012 Metropolitan Ave, Makati City, Metro Manila, Philippines"
Secret,Karaoke bar,"5644 Don Pedro, Makati City, 1210 Metro Manila, Philippines"
Uncle J Family KTV,Karaoke bar,"5783 Felipe, Makati, 1210 Kalakhang Maynila, Philippines"
Shiawase Bar & Restaurant,Karaoke bar,"808 RV Bryan Bldg., A. Arnaiz Ave, Makati City, Metro Manila, Philippines"
Music 11 Plaza,Restaurant,"Eurocrest Building, Dreamland subdivision, 126 Jupiter, Makati City, 1209 Metro Manila, Philippines"
Sayaka,Karaoke bar,"Makati Square, Fernando Street.Don Chino Roces Ave, brgy pio del pilar, Makati City, 1209 Metro Manila, Philippines"
Mariko,Karaoke bar,"H229+88V, Antonio S. Arnaiz Ave, Makati City, Metro Manila, Philippines"
Little Shiawase,Karaoke bar,"1229, 132 Amorsolo Street, Makati City, 1229 Metro Manila, Philippines"
The Lounge Cafe & KTV,Bar,"Bakawan, corner Mayapis St., Makati City, 1203, Philippines"
9 KTV & Resto Bar,Karaoke bar,"st, 329 J. P. Rizal St, Tejeros, Makati City, 1204 Metro Manila, Philippines"
Bijinza de Makati Show Club,Karaoke bar,"The Gallery, Amorsolo Street, Legazpi Village, Makati, 1229 Kalakhang Maynila, Philippines"
Rockstar KTV SM Aura,Karaoke bar,"5th Level, Skygarden, SM Aura, McKinley Pkwy, Taguig, Metro Manila, Philippines"
InLove KTV Makati,Karaoke bar,"8th-10th floor, 7842 Makati Ave, Poblacion, Makati City, 1210 Metro Manila, Philippines"
Hi-Tide KTV Bar,Karaoke bar,"309 J. P. Rizal St, Makati City, 1204 Metro Manila, Philippines"
7373 Events Place & Restaurant,Event venue,"7373 Bakawan, Makati City, 1203 Metro Manila, Philippines"
Studio M,Dance hall,"V.G, Miranda Bldg, 9699 Pililia, Makati City, 1208 Metro Manila, Philippines"
Rhythms N' Spoons ( formerly Bites Bistro Makati ),Bistro,"101, Rockfort Makati Boutique Condo, 3177 Kalayaan Ave, Pinagkaisahan, Makati City, 1212 Metro Manila, Philippines"
Lub d Manila Makati,Hotel,"7820 Makati Ave, Makati City, 1210 Metro Manila, Philippines"
Opera Haus,Music school,"3657 Bautista St, Makati City, 1230 Metro Manila, Philippines"
Z Hostel,Hostel,"5660 Don Pedro, Makati, Makati City, 1209 Metro Manila, Philippines"
Maestro Studios,Recording studio,"4332 Gen. Tinio, Makati City, 1233 Metro Manila, Philippines"
Infinitif Entertainment Studio,Training center,"2/F, 6678 T.Taylo, Makati City, Metro Manila, Philippines"
Makati Diamond Residences,Hotel,"118 Legazpi Street, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Timeless Music Bar,Bar,"Unit G-7, Creekside Building, Amorsolo Street, Makati City, Metro Manila, Philippines"
Alibi Music Lounge - Makati,Lounge bar,"Side of 1898 Hotel, 5033 P Burgos St, Poblacion, Makati City, 1210 Metro Manila, Philippines"
GRANDEUR music lounge,Bar,"Makati Square, Chino Roces Ave, Legazpi Village, Makati City, Metro Manila, Philippines"
BANDO - Hip-Hop & RnB Nightclub Makati,Bar,"Basement 1, Parking Area, Makati Square, Chino Roces Ave, Legazpi Village, Makati City, 1230 Metro Manila, Philippines"
Rosie’s Cocktail Lounge,Cocktail bar,"5734 P Burgos St, Poblacion, Makati City, 1209 Metro Manila, Philippines"
Long Bar,Bar,"1, Raffles Drive, 1st Floor Lobby, Raffles Makati, Makati Ave, Makati City, 1224 Metro Manila, Philippines"
The Penthouse 8747,Lounge bar,"8747 Paseo de Roxas, Makati City, 1227 Metro Manila, Philippines"
Handlebar Bar and Grill,Bar & grill,"31 Polaris, Makati, 1209 Kalakhang Maynila, Philippines"
SaGuijo Cafe and Bar events,Bar,"7612 Guijo, Village, Makati, 1203 Kalakhang Maynila, Philippines"
Salon de Ning,Bar,"Corner of Ayala and 1226, Makati Ave, Makati City, Metro Manila, Philippines"
Waltermart Cinemas - Makati,Movie theater,"5/F Walter Mart Makati, 790 Chino Roces Street, 12 Makati Ave, Makati City, 1230 Metro Manila, Philippines"
Power Plant Cinema,Movie theater,"R3, Power Plant Mall, Rockwell Drive, Cor Estrella, Makati City, 1200, Philippines"
Ayala Malls Cinemas Circuit,Movie theater,"H2F9+3X6, Ayala Malls Circuit, Hippodromo, Makati City, Metro Manila, Philippines"
Greenbelt 3 Cinemas,Movie theater,"4th floor, Greenbelt, 3 Esperanza St, Makati City, 1224 Metro Manila, Philippines"
Glorietta 4 Cinemas,Movie theater,"4th Floor, Glorietta 4, Ayala Center, Makati City, Metro Manila, Philippines"
Century City Cinemas,Movie theater,"Century City Mall, Kalayaan Ave, Makati, 1210 Kalakhang Maynila, Philippines"
Cinema - Cash & Carry Mall,Movie theater,"Cash & Carry Mall, 1200 Filmore St, Makati City, Metro Manila, Philippines"
Ayala Mall Cinemas Glorietta,Movie theater,"L4, G4, Glorietta 4, Ayala Ave, Makati City, Metro Manila, Philippines"
SM Cinema Aura,Movie theater,"4/F SM Aura Premier, 26th Street corner, McKinley Pkwy, The Fort, Taguig, Metro Manila, Philippines"
Greenbelt,Shopping mall,"Legazpi Street, Legazpi Village, Makati City, Metro Manila, Philippines"
Bonifacio High Street Cinemas,Movie theater,"H22X+RGV, 30th St, Taguig, Metro Manila, Philippines"
The Landmark Makati,Shopping mall,"6751 Makati Ave, Ayala Center, Makati City, Metro Manila, Philippines"
Century City Mall,Shopping mall,"Century City Kalayaan Ave, Cor Salamanca, Brgy. Poblacion, Makati City, 1210 Metro Manila, Philippines"
SureSeats,Movie theater,"Ayala Malls Cinemas, 4th floor Glorietta 4, Ayala Center, Countryard Drive 1224, Makati City, Metro Manila, Philippines"
Le Ciné Club Manila,Movie theater,"Alliance Française de Manille, 209 Nicanor Garcia St, Makati City, 1209 Metro Manila, Philippines"
Glorietta,Shopping mall,"Ayala Center, Makati City, 1226 Metro Manila, Philippines"
Uptown Mall Cinema,Movie theater,"9th Ave., Ave, Uptown Mall, 11th Dr, Taguig, Metro Manila, Philippines"
Ayala Malls Cinemas Manila Bay,Movie theater,"GXFP+8WG, Fifth Floor, Ayala Malls Manila Bay, Parañaque, Metro Manila, Philippines"
Robinsons Movieworld Manila,Movie theater,"HXGM+4W8, Pedro Gil St, Ermita, Manila, 1000 Metro Manila, Philippines"
One Eye Studio,Movie theater,"5022 P Burgos St, Poblacion, Makati City, 1210 Metro Manila, Philippines"
SM Cinema | IMAX Mall of Asia,IMAX theater,"GXPH+MX2, Ground Floor North Wing, SM Mall of Asia EDSA Extension , SM CENTRAL BUSINESS PARK, BAY CITY, Pasay City, 1308, Philippines"
Venice Cineplex Cinema,Movie theater,"G3M2+88P, Venezia Drive, Taguig, Metro Manila, Philippines"
SM Cinema | IMAX Aura Premier,IMAX theater,"26th Street, Corner McKinley Pkwy, Taguig, 1630, Philippines"
SM Cinema | IMAX Megamall,IMAX theater,"316 Epifanio de los Santos Ave, Ortigas Center, Mandaluyong City, 1555 Metro Manila, Philippines"
iMax Technologies Inc.,Telecommunications equipment supplier,"18 Binay Street, Makati City, Metro Manila, Philippines"
Imax Technologies,Unknown,"1230 Gonzalo Puyat St, Quiapo, Makati City, 1001 Metro Manila, Philippines"
Cinematheque Centre Manila,Movie theater,"Lot 2, Block 51 Sta. Lucia St, Intramuros, Manila, 1002 Metro Manila, Philippines"
Market Market Cinema,Movie theater,"Market! Market!, McKinley Pkwy, Taguig, 1630 Metro Manila, Philippines"
SM Cinema Megamall,Movie theater,"3/F SM Megamall Building, Edsa corner Julia Vargas Avenue, Ortigas, Mandaluyong City, Philippines"
Cinema '76 Film Society,Movie theater,"Corner Tomas Morato Ave, Diliman, Quezon City, Metro Manila, Philippines"
Gateway Cineplex 18,Movie theater,"4th Floor Gateway Mall, General Malvar Ave, Cubao, Quezon City, 1109 Kalakhang Maynila, Philippines"
Directors Club by SM Cinema,Movie theater,"The Podium, 12 ADB Ave, Ortigas Center, Mandaluyong City, 1550 Metro Manila, Philippines"
CineFilipino,Entertainment agency,"Greenbelt Mansion Condominium, 106 Perea, Legaspi Village, Makati City, 1229 Metro Manila, Philippines"
Film Experts Incorporated,Unknown,"c/o, 2663 Honduras, Village, Makati City, 1200 Metro Manila, Philippines"
Samsung Performing Arts Theater,Performing arts theater,"Hippodromo St, Makati City, 1630 Metro Manila, Philippines"
Director's Club - S Maison,Movie theater,"Level 2, S'maison, Pasay City, Metro Manila, Philippines"
Film Pabrika,Television studio,"20 Jupiter, Makati City, 1209 Metro Manila, Philippines"
4DX,Movie theater,"H22C+PP4, Greenbelt Dr, Makati City, Metro Manila, Philippines"
Urban Theory Cocktail Bar,Pub,"2nd Floor, 174 Yakal, Makati City, 1203 Metro Manila, Philippines"
oto,Cocktail bar,"Unit 1 GF, Villa Caridad 1, 5883 Enriquez, Brgy. Poblacion, Makati City, 1210 Metro Manila, Philippines"
Bar 10 Four,Bar,"St, Somerset Millenium, 104 Aguirre, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Union Jack Tavern - Makati,Pub,"105 V.A Rufino St., co, Esteban, Legazpi Village, Makati City, 1170 Metro Manila, Philippines"
Antidote,Gastropub,"Roofdeck, I'M Hotel, 7862 Ave, Makati City, 1210 Metro Manila, Philippines"
The Grasshopper Bar,Bar,"Don Carlos Palanca, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Alamat Filipino Cuisine,Bar,"2/F, 5666 Don Pedro, Poblacion, Makati City, 1209 Metro Manila, Philippines"
Shooters Sports Bar & Cafe Makati,Sports bar,"Shooters Sports bar and Restaurant Ground Floor, E. Mercado Corner F. Calderon Street Kalayaan Avenue, Mercado, Makati City, 1210 Metro Manila, Philippines"
Catchin' Up Pub - Jupiter,Gastropub,"28 Jupiter, Makati City, 1209 Metro Manila, Philippines"
H&J Sports Bar and Restaurant,Restaurant,"5781 Felipe, Poblacion, Makati City, 1210 Metro Manila, Philippines"
Moon Club Makati at 2nd Floor,Club,"5050, cor P Burgos St, poblacion, Makati City, 1210 Metro Manila, Philippines"
Apotheka Manila,Night club,"G/F, White Rabbit Blg, 5672 Dona Carmen St, Cor General Luna, Poblacion, Makati City, 1210 Metro Manila, Philippines"
The City Club,Club,"4F, 7232 Ayala Ave, Extension, Makati City, 1209 Metro Manila, Philippines"
Disturbia Super Club,Night club,"37 Polaris, Makati City, 1209 Metro Manila, Philippines"
Tower Club,Club,"Salcedo Village, 8767 Paseo de Roxas, Makati City, 1227 Metro Manila, Philippines"
Club Nomads,Bar,"1261 Batangas, Makati City, 1234 Metro Manila, Philippines"
LA NOIRE Social Club + Lounge,Social club,"New World Hotel, New World Hotel Makati, Esperanza St, Makati City, Metro Manila, Philippines"
Ringside Bar,Night club,"4853 P. Burgos Corner Kalayaan Avenue, Makati City, 1210 Metro Manila, Philippines"
The Studio Dance Club,Night club,"Level 3, Greenbelt, 3 Esperanza St, Makati City, 1224 Metro Manila, Philippines"
Club BLUE Makati,Night club,"5038 Calderon, Makati City, 1210 Metro Manila, Philippines"
Horizon Club Shangri-La Makati,Lounge bar,"24th Floor, Shangri-La Makati, Ayala Ave, Makati City, Metro Manila, Philippines"
SYNQ Poblacion,Night club,"GF, Matheus Building, 5382 General Luna, Makati City, 1210 Metro Manila, Philippines"
Yso Rich,Night club,"5345 General Luna, Makati City, 1208 Metro Manila, Philippines"
LUXXE Bar & Cocktail Lounge,Night club,"Dona Carmen, Makati City, 1210 Metro Manila, Philippines"
O2 Rooftop Bar,Lounge bar,"27th floor Penthouse D2 Residence Bonifacio Civic Center Tower, 6 McKinley Pkwy, Post Proper Northside, Taguig, 1634 Metro Manila, Philippines"
1018 Rooftop Bar,Bar,"Rizal Village, 1018 Teresa, Makati City, 1208 Metro Manila, Philippines"
Mistral,Bar,"1, Raffles Drive, 10th Floor, Raffles Makati, Makati Ave, Ayala Centre, Makati City, 1224 Metro Manila, Philippines"
Sky High Bar,Bar,"21st Floor, Ace Hotel, Brixton St, Pasig, 1603 Metro Manila, Philippines"
VU's Sky Bar and Lounge,Bar,"H3P7+XC9, Marco Polo hotel, Meralco Ave, Ortigas Center, Pasig, Metro Manila, Philippines"
Seltsam,Restaurant,"Rooftop, Xanland Building, 152 Amorsolo Street, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Lynx Gastro Lounge,Gastropub,"Roof Deck E&M Building, Dona Carmen, Makati City, 1210 Metro Manila, Philippines"
Lost Spirit Manila,Bar,"Hereos Hotel Roofdeck, 1260 Florentino Torres, San Andres Bukid, Manila, 1017 Metro Manila, Philippines"
Sari Sari,Bar,"5661 Washington St, cor Dela Rosa Street, Makati City, 1230 Metro Manila, Philippines"
BAR GOOD TIMES,Cocktail bar,"Ground Floor, Proscenium at Rockwell, Rockwell Center, Makati City, 1211 Metro Manila, Philippines"
Cheshire Speakeasy,Cocktail bar,"4F, White Rabbit Bldg 5672 Dona Carmen St, Cor General Luna, Poblacion, Makati City, 1210 Metro Manila, Philippines"
78-45-33,Bar,"78_45_33 San Agustin St, Makati City, 1227 Metro Manila, Philippines"
The Back Room,Bar,"Shangri-La The Fort, Manila, 30th St, Taguig, Metro Manila, Philippines"
Big Fuzz,Cocktail bar,"2nd Floor, Creekside Mall, Amorsolo Street, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
The Attic,Bar,"Ground Floor, Park West Residences 7th Avenue, 36th St, Taguig, Metro Manila, Philippines"
Circuit Makati,Bus stop,"Makati City, Metro Manila, Philippines"
Kart Plaza,Golf cart dealer,"1106 P. Binay, Corner Borneo, Streets, Makati City, 1234 Metro Manila, Philippines"
Drift Motor Speedway,Theme park,"Valley Fair Town Center, Ortigas Ave Ext, Taytay, 1920 Rizal, Philippines"
Ekartraceway Antipolo,Go-karting venue,"@ LRT2 Antipolo station, Eastgate Business & transport center, Marikina-Infanta Hwy, Masinag, Antipolo, 1870 Rizal, Philippines"
Nitro Drift Race track Vmall Greenhills,Go-karting venue,"San Juan City, Metro Manila, Philippines"
ArcoVia City Pasig,Business park,"99, 1604 Eulogio Rodriguez Jr. Ave, Pasig, 1604 Metro Manila, Philippines"
Zoomanity Group Theme Parks Head Office,Theme park,"3rd, YUPANGCO BUILDING, 339 Sen. Gil J. Puyat Ave, Makati City, Metro Manila, Philippines"
Kart S on D Go Enterprise,Unknown,"1715 Int 8 Bo San Vicente St, Bgy 816, Zone 088 Paco, Manila, Philippines"
Speedway Radio Control Car Race Track Rental,Car racing venue,"4F SM City Manila Concepcion St, Bgy 659, Zone 071 Ermita, Manila, Philippines"
Nitrodrift E go Kart Track & Simulator Rentals,Amusement ride supplier,"1232 United Nations Ave, Paco, Manila, 1007 Metro Manila, Philippines"
Berjaya Makati Hotel - Philippines,Function room facility,"7835 Corner Eduque Street, 7835 Makati Ave, Makati City, 1209 Metro Manila, Philippines"
SpeedeeKarts (SpeedeeKarts by Infinifun),Go-karting venue,"J492+FHP, Felix Ave, Pasig, 1900 Metro Manila, Philippines"
Makati Shangri-La,Hotel,"Ayala Avenue, Makati Ave, Makati City, 1200 Metro Manila, Philippines"
Manong sisig,Go-karting venue,"3628, 3632 C. Rivera, Parañaque, Metro Manila, Philippines"
City Kart Racing,Go-karting venue,"3rd flr, Circuit Lane, AP Reyes St, Makati City, Metro Manila, Philippines"
Superbowl Bowling Center 42 Tenpin Lanes -,Bowling alley,"3rd Floor, Makati Square, Building Chino Roces Ave, Legazpi Village, Makati City, Metro Manila, Philippines"
Kings Queens Bowling,Bowling alley,"8846 Estrella Ave, cor Sampaloc, San Antonio, Makati City, Philippines"
Superbowl,Pool hall,"2130 Chino Roces Ave, Legazpi Village, Makati City, 1230 Metro Manila, Philippines"
Paeng Nepomuceno Trading Incorporated,Bowling alley,"Building A, Makati City, 1200 Metro Manila, Philippines"
Lazer Arena,Laser tag center,"5th floor, Mega Mall B Fashion Hall, EDSA Cor., Doña Julia Vargas Ave, Ortigas Center, Mandaluyong City, Metro Manila, Philippines"
ArtBuds,Art studio,"6th Floor, Karrivin Studios, 2316 Chino Roces Ave, Magallanes, Makati City, 1232 Metro Manila, Philippines"
Global Art Salcedo Makati,Art center,"Building, Three Salcedo Place, Salcedo Village, 2/f, 123 Tordesillas, Makati City, Metro Manila, Philippines"
MAARTSY,Art school,"186 Salcedo, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Pottery Sessions,Pottery classes,"6057 R Palma, Poblacion, Makati City, 1210 Metro Manila, Philippines"
Color Me Mine_CEDO Makati,Painting studio,"Unit 101A, CEDO Wellness, Three Salcedo Place, Tordesillas, Makati City, 1209 Metro Manila, Philippines"
The Drawing Room,Art gallery,"Ground Floor, Building C, Karrivin Plaza, 2316 Chino Roces Avenue Extension, Barangay Magallanes, Makati City, 1231 Metro Manila, Philippines"
Craft MNL,Craft store,"Condominium, Pamana-Languages Building, Unit 302, 926 Antonio Arnaiz Ave, Makati, 1223 Kalakhang Maynila, Philippines"
Jollijam Arts Center,Art center,"2F, Three Salcedo Place, Salcedo Village, 123 Tordesillas, Makati City, 1227 Metro Manila, Philippines"
The School Of Academics And Arts,Educational institution,"H297+67F, Davila, Makati City, 1204 Metro Manila, Philippines"
Artist Space,Art gallery,"2nd Floor, Glass Wing, Ayala Museum, Highway Drive, Corner East Drive, Makati City, 1200 Metro Manila, Philippines"
KIT101 ART,Art school,"Menarco Tower, 32nd St, Post Proper Northside, Taguig, 1634 Metro Manila, Philippines"
The Oil Paint Store - Art Supplies (Makati Branch),Art supply store,"2nd floor, Same floor of SSS), Makati Central, Makati Square, 1230 Chino Roces Ave, Legazpi Village, Makati City, Metro Manila, Philippines"
Wabi Sabi Studio PH,Pottery store,"4th floor, 10 E Capitol Dr, Pasig, 1603 Metro Manila, Philippines"
Jollijam Arts Center (Rockwell Makati),Art school,"H27Q+9P5, Estrella St Inside Metropolitan Club/ Metro Club, Rockwell Dr, Makati City, 1200 Metro Manila, Philippines"
Laro Ceramics Studio BGC,Pottery classes,"3F, C2 Building, 7th Avenue, corner 28th St, Taguig, 1630 Metro Manila, Philippines"
Arts and Crafts Workshop,College,"713 Ferros Bel-Air Condominium, 30 Polaris Street, Bel-Air, Makati City, 1209 Metro Manila, Philippines"
E.R. Tagle Positivism Art Workshop,Art studio,"Makati Square, Chino Roces Ave, Legazpi Village, Makati City, 1200 Metro Manila, Philippines"
Art Caravan BGC,Art supply store,"The Forum, Unit 2-7 2nd floor, 7th Avenue, Federacion Dr, Post Proper Northside, Taguig, 1634 Metro Manila, Philippines"
The Art of Yarn Craft Studio,Art studio,"First Capitol Place - 1st street, corner Phil-Am Rd, Kapitolyo, Pasig, 1600 Metro Manila, Philippines"
Workshop.Studio,Craft store,"Ayala Malls, Gallery Drive, Hippodromo Street, Circuit, Makati City, Metro Manila, Philippines"
The D.i.y. (Do It Yourself) Shop,Hardware store,"2258 Chino Roces Ave, Ortigas Center, Makati City, Metro Manila, Philippines"
DIY Hardware - Makati Central Square,Home improvement store,"Philippines, Metro Manila, Makati City, Legazpi Village, 24"
Studio 925,Metal working shop,"34, 1200 Jupiter, Makati City, Metro Manila, Philippines"
MR.DIY,Home improvement store,"Level 2, Ayala Malls Circuit, Hippodromo St, Makati City, 1207 Metro Manila, Philippines"
MR.DIY,Home improvement store,"1635 Evangelista, Makati City, 1233 Metro Manila, Philippines"
The Diy Shop,Unknown,"1200 Antonio Arnaiz Ave, Makati City, Metro Manila, Philippines"
MR.DIY,Home improvement store,"5/F Waltermart Makati 790 Chino Roces Ave, corner Antonio Arnaiz Ave, Makati City, 1230 Metro Manila, Philippines"
MAIWASH LAUNDRY SHOP URDANETA ST,Laundry service,"2467 Urdaneta, Guadalupe Nuevo, Makati City, Metro Manila, Philippines"
MR.DIY,Home improvement store,"Level 4, One Ayala Mall, 1 Ayala Ave, Makati City, 1226 Metro Manila, Philippines"
Payapa Wellness & Spa - Makati,Spa,"Makati Tuscany Condominium, 6751 Ayala Avenue, corner Fonda, Makati City, 1226 Metro Manila, Philippines"
Breeze Oriental Spa & Massage - Makati,Massage spa,"G/F Skyland Plaza Tower B, Barangay San Antonio Village Malugay St, corner Talisay, Makati City, 1210 Metro Manila, Philippines"
Well Being Nature Spa Massage Makati,Spa,"131, Finman Building, Salcedo Village, Tordesillas, Makati City, 1227 Metro Manila, Philippines"
Enchanté Spa and Wellness Linear-Makati,Massage spa,"Tower 2, The Linear Makati, Commercial Unit 15, Mayapis St., Makati City, 1203 Metro Manila, Philippines"
K1 WELLNESS AND BEAUTY SPA & SALON MAKATI,Spa,"Valero Plaza Condominium, Valero, Makati City, 1227 Metro Manila, Philippines"
Palmeo Spa - Makati Home & Hotel Massage,Massage therapist,"Ayala Ave, Makati City, 1229 Metro Manila, Philippines"
New Lasema Spa Jjimjilbang,Spa,"8846 Sampaloc St, corner Estrella St, Makati City, 1203 Metro Manila, Philippines"
Thai Royale Spa Makati,Massage spa,"Ground Floor, LMI Building, 7823 Makati Ave, Poblacion, Makati City, 1210 Metro Manila, Philippines"
Hilot Healing Hands Massage Spa Clinic Makati,Massage spa,"4012B Yague, Makati City, 1204 Metro Manila, Philippines"
Unwind Wellness Spa,Massage spa,"8858 bldg, 8858 Sampaloc, Makati, 1203 Kalakhang Maynila, Philippines"
Taipei Spa Makati,Health spa,"4726 1208, Salamanca, Makati City, Metro Manila, Philippines"
SPA REMEDE,Massage spa,"107, Makati Central Business District, Ground Floor Crown tower, H.V. Dela Costa, Makati City, 1227 Metro Manila, Philippines"
I'M Onsen Spa,Spa,"I'M Hotel, UG Floor, Makati Avenue Corner, Kalayaan Ave, Makati City, 1210 Metro Manila, Philippines"
Calm Escape Premier Spa - Makati,Spa,"MJM Bldg, 650 J. P. Rizal St, Makati City, Metro Manila, Philippines"
NUtopia Spa,Spa,"G/F Unit 103, Makati Executive Center, Salcedo Village, San Agustin St, Makati City, Metro Manila, Philippines"
Celestia Hotel & Home Service Spa Massage Makati,Massage spa,"West St, Makati City, 1200 Metro Manila, Philippines"
Abacca Massage Spa,Spa,"Antipolo, Makati City, Metro Manila, Philippines"
Infinity Spa Makati,Massage spa,"G2W8+9Q8, Amorsolo Street, Makati City, Metro Manila, Philippines"
Wellmana Massage and Spa,Massage spa,"Lower ground, Makati Palace Hotel, 5011 P. Burgos, corner Caceres, Makati City, 1200 Metro Manila, Philippines"
Foot Zone Spa - Jupiter Makati,Massage spa,"3rd Floor, Sunshine Place, 56 Jupiter, Makati City, 1209 Metro Manila, Philippines"
