activity_name,category,location_area
Run Rabbit Run,Cocktail bar,"GF, Six Axis Building, 4347 B. Valdez, Poblacion, Makati City, 1210 Metro Manila, Philippines"
"Encima Roofdeck Restaurant, Makati",Tex-Mex restaurant,"Topmost Floor City Garden Hotel Makati, 7870 Makati Avenue, corner Durban, Barangay Poblacion, Makati City, 1210 Metro Manila, Philippines"
Sip & Gogh,Painting studio,"H28H+44Q, Kalayaan Ave, Makati City, Metro Manila, Philippines"
Grace Park Dining by Margarita Forés - One Rockwell,Restaurant,"G/F, One Rockwell East Tower, Rockwell Dr, Makati City, 1200 Metro Manila, Philippines"
Bombvinos Bodega,Restaurant,"Unit 3, Zone Sports Center, 7224 Malugay Street, Brgy, Bel-Air, Makati City, 1209 Metro Manila, Philippines"
Old Manila at The Peninsula Manila,Fine dining restaurant,"The Peninsula Manila Corner of Ayala and Makati Avenues Ground Level Makati, Makati City, 1226 Metro Manila, Philippines"
Lampara,Filipino restaurant,"Unit 1 GF, Villa Caridad 1, 5883 Enriquez, Brgy. Poblacion, Makati City, 1210 Metro Manila, Philippines"
Mamou Made Nice,Restaurant,"G/F 122, Joya Lofts & Towers, Plaza Drive corner Amorsolo Drive, Rockwell Dr, Makati City, Metro Manila, Philippines"
Your Local,Asian restaurant,"106 Esteban, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Straight Up Bar at Seda Residences Makati,Western restaurant,"6798 Ayala Ave, Legazpi Village, Makati City, Metro Manila, Philippines"
Pablo Bistro,Spanish restaurant,"Salcedo Village, G/F The Picasso Boutique Serviced Residences, 117, 119 L.P. Leviste Street, Makati City, 1227 Metro Manila, Philippines"
Rumba,Mediterranean restaurant,"Ground Floor, The Shops at Ayala Triangle Gardens, Makati City, Metro Manila, Philippines"
WRITERS BAR,Restaurant,"1, Raffles Drive, Makati Ave, Makati City, 1224 Metro Manila, Philippines"
Oculto Makati,Night club,"5040, T. Tower Condominium, P Burgos St, Poblacion, Makati City, 1210 Metro Manila, Philippines"
SANCTUARY Poblacion,Bar,"5060 P Burgos, cor Guerrero, Poblacion, Makati City, 1210 Metro Manila, Philippines"
Notorious HQ,Night club,"8464 Kalayaan Ave, Poblacion, Makati City, 1210 Metro Manila, Philippines"
Washington Sycip Park,Tourist attraction,"Legazpi Street, Legaspi Village, Makati City, 1229 Metro Manila, Philippines"
URBN Makati,Night club,"11th Floor, 7842 Makati Ave, Poblacion, Makati City, 1200 Metro Manila, Philippines"
Loop Club Makati,Night club,"Calderon, 5038 P Burgos St, Makati City, 1210 Metro Manila, Philippines"
